Image,Index,Name,Type 1,Type 2,Total,HP,Attack,Defense,SP. Atk.,SP. Def,Speed
images/88.png,66,Machop,Fighting,,305,70,80,50,35,35,35
images/89.png,67,Machoke,Fighting,,405,80,100,70,50,60,45
images/90.png,68,Machamp,Fighting,,505,90,130,80,65,85,55
images/91.png,69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40
images/92.png,70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55
images/93.png,71,Victreebel,Grass,Poison,490,80,105,65,100,70,70
images/94.png,72,Tentacool,Water,Poison,335,40,40,35,50,100,70
images/95.png,73,Tentacruel,Water,Poison,515,80,70,65,80,120,100
images/96.png,74,Geodude,Rock,Ground,300,40,80,100,30,30,20
images/97.png,74,Geodude Alolan Geodude,Rock,Electric,300,40,80,100,30,30,20
images/98.png,75,Graveler,Rock,Ground,390,55,95,115,45,45,35
images/99.png,75,Graveler Alolan Graveler,Rock,Electric,390,55,95,115,45,45,35
images/100.png,76,Golem,Rock,Ground,495,80,120,130,55,65,45
images/101.png,76,Golem Alolan Golem,Rock,Electric,495,80,120,130,55,65,45
images/102.png,77,Ponyta,Fire,,410,50,85,55,65,65,90
images/103.png,77,Ponyta Galarian Ponyta,Psychic,,410,50,85,55,65,65,90
images/104.png,78,Rapidash,Fire,,500,65,100,70,80,80,105
images/105.png,78,Rapidash Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105
images/106.png,79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15
images/107.png,79,Slowpoke Galarian Slowpoke,Psychic,,315,90,65,65,40,40,15
images/108.png,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30
images/109.png,80,Slowbro Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30
images/110.png,80,Slowbro Galarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30
images/111.png,81,Magnemite,Electric,Steel,325,25,35,70,95,55,45
images/112.png,82,Magneton,Electric,Steel,465,50,60,95,120,70,70
images/113.png,83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60
images/114.png,83,Farfetch'd Galarian Farfetch'd,Fighting,,377,52,95,55,58,62,55
images/115.png,84,Doduo,Normal,Flying,310,35,85,45,35,35,75
images/116.png,85,Dodrio,Normal,Flying,470,60,110,70,60,60,110
images/117.png,86,Seel,Water,,325,65,45,55,45,70,45
images/118.png,87,Dewgong,Water,Ice,475,90,70,80,70,95,70
images/119.png,88,Grimer,Poison,,325,80,80,50,40,50,25
images/120.png,88,Grimer Alolan Grimer,Poison,Dark,325,80,80,50,40,50,25
images/121.png,89,Muk,Poison,,500,105,105,75,65,100,50
images/122.png,89,Muk Alolan Muk,Poison,Dark,500,105,105,75,65,100,50
images/123.png,90,Shellder,Water,,305,30,65,100,45,25,40
images/124.png,91,Cloyster,Water,Ice,525,50,95,180,85,45,70
images/125.png,92,Gastly,Ghost,Poison,310,30,35,30,100,35,80
images/126.png,93,Haunter,Ghost,Poison,405,45,50,45,115,55,95
images/127.png,94,Gengar,Ghost,Poison,500,60,65,60,130,75,110
images/128.png,94,Gengar Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130
images/129.png,95,Onix,Rock,Ground,385,35,45,160,30,45,70
images/130.png,96,Drowzee,Psychic,,328,60,48,45,43,90,42
images/131.png,97,Hypno,Psychic,,483,85,73,70,73,115,67
images/132.png,98,Krabby,Water,,325,30,105,90,25,25,50
images/133.png,99,Kingler,Water,,475,55,130,115,50,50,75
images/134.png,100,Voltorb,Electric,,330,40,30,50,55,55,100
images/135.png,100,Voltorb Hisuian Voltorb,Electric,Grass,330,40,30,50,55,55,100
images/136.png,101,Electrode,Electric,,490,60,50,70,80,80,150
images/137.png,101,Electrode Hisuian Electrode,Electric,Grass,490,60,50,70,80,80,150
images/138.png,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40
images/139.png,103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55
images/140.png,103,Exeggutor Alolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45
images/141.png,104,Cubone,Ground,,320,50,50,95,40,50,35
images/142.png,105,Marowak,Ground,,425,60,80,110,50,80,45
images/143.png,105,Marowak Alolan Marowak,Fire,Ghost,425,60,80,110,50,80,45
images/144.png,106,Hitmonlee,Fighting,,455,50,120,53,35,110,87
images/145.png,107,Hitmonchan,Fighting,,455,50,105,79,35,110,76
images/146.png,108,Lickitung,Normal,,385,90,55,75,60,75,30
images/147.png,109,Koffing,Poison,,340,40,65,95,60,45,35
images/148.png,110,Weezing,Poison,,490,65,90,120,85,70,60
images/149.png,110,Weezing Galarian Weezing,Poison,Fairy,490,65,90,120,85,70,60
images/150.png,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25
images/151.png,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40
images/152.png,113,Chansey,Normal,,450,250,5,5,35,105,50
images/153.png,114,Tangela,Grass,,435,65,55,115,100,40,60
images/154.png,115,Kangaskhan,Normal,,490,105,95,80,40,80,90
images/155.png,115,Kangaskhan Mega Kangaskhan,Normal,,590,105,125,100,60,100,100
images/156.png,116,Horsea,Water,,295,30,40,70,70,25,60
images/157.png,117,Seadra,Water,,440,55,65,95,95,45,85
images/158.png,118,Goldeen,Water,,320,45,67,60,35,50,63
images/159.png,119,Seaking,Water,,450,80,92,65,65,80,68
images/160.png,120,Staryu,Water,,340,30,45,55,70,55,85
images/161.png,121,Starmie,Water,Psychic,520,60,75,85,100,85,115
images/162.png,122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90
images/163.png,122,Mr. Mime Galarian Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100
images/164.png,123,Scyther,Bug,Flying,500,70,110,80,55,80,105
images/165.png,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95
images/166.png,125,Electabuzz,Electric,,490,65,83,57,95,85,105
images/167.png,126,Magmar,Fire,,495,65,95,57,100,85,93
images/168.png,127,Pinsir,Bug,,500,65,125,100,55,70,85
images/169.png,127,Pinsir Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105
images/170.png,128,Tauros,Normal,,490,75,100,95,40,70,110
images/171.png,128,Tauros Combat Breed,Fighting,,490,75,110,105,30,70,100
images/172.png,128,Tauros Blaze Breed,Fighting,Fire,490,75,110,105,30,70,100
images/173.png,128,Tauros Aqua Breed,Fighting,Water,490,75,110,105,30,70,100
images/174.png,129,Magikarp,Water,,200,20,10,55,15,20,80
images/175.png,130,Gyarados,Water,Flying,540,95,125,79,60,100,81
images/176.png,130,Gyarados Mega Gyarados,Water,Dark,640,95,155,109,70,130,81
images/177.png,131,Lapras,Water,Ice,535,130,85,80,85,95,60
images/178.png,132,Ditto,Normal,,288,48,48,48,48,48,48
images/179.png,133,Eevee,Normal,,325,55,55,50,45,65,55
images/180.png,133,Eevee Partner Eevee,Normal,,435,65,75,70,65,85,75
images/181.png,134,Vaporeon,Water,,525,130,65,60,110,95,65
images/182.png,135,Jolteon,Electric,,525,65,65,60,110,95,130
images/183.png,136,Flareon,Fire,,525,65,130,60,95,110,65
images/184.png,137,Porygon,Normal,,395,65,60,70,85,75,40
images/185.png,138,Omanyte,Rock,Water,355,35,40,100,90,55,35
images/186.png,139,Omastar,Rock,Water,495,70,60,125,115,70,55
images/187.png,140,Kabuto,Rock,Water,355,30,80,90,55,45,55
images/188.png,141,Kabutops,Rock,Water,495,60,115,105,65,70,80
images/189.png,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130
images/190.png,142,Aerodactyl Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150
images/191.png,143,Snorlax,Normal,,540,160,110,65,65,110,30
images/192.png,144,Articuno,Ice,Flying,580,90,85,100,95,125,85
images/193.png,144,Articuno Galarian Articuno,Psychic,Flying,580,90,85,85,125,100,95
images/194.png,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100
images/195.png,145,Zapdos Galarian Zapdos,Fighting,Flying,580,90,125,90,85,90,100
images/196.png,146,Moltres,Fire,Flying,580,90,100,90,125,85,90
images/197.png,146,Moltres Galarian Moltres,Dark,Flying,580,90,85,90,100,125,90
images/198.png,147,Dratini,Dragon,,300,41,64,45,50,50,50
images/199.png,148,Dragonair,Dragon,,420,61,84,65,70,70,70
images/200.png,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80
images/201.png,150,Mewtwo,Psychic,,680,106,110,90,154,90,130
images/202.png,150,Mewtwo Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130
images/203.png,150,Mewtwo Mega Mewtwo Y,Psychic,,780,106,150,70,194,120,140
images/204.png,151,Mew,Psychic,,600,100,100,100,100,100,100
images/205.png,152,Chikorita,Grass,,318,45,49,65,49,65,45
images/206.png,153,Bayleef,Grass,,405,60,62,80,63,80,60
images/207.png,154,Meganium,Grass,,525,80,82,100,83,100,80
images/208.png,155,Cyndaquil,Fire,,309,39,52,43,60,50,65
images/209.png,156,Quilava,Fire,,405,58,64,58,80,65,80
images/210.png,157,Typhlosion,Fire,,534,78,84,78,109,85,100
images/211.png,157,Typhlosion Hisuian Typhlosion,Fire,Ghost,534,73,84,78,119,85,95
images/212.png,158,Totodile,Water,,314,50,65,64,44,48,43
images/213.png,159,Croconaw,Water,,405,65,80,80,59,63,58
images/214.png,160,Feraligatr,Water,,530,85,105,100,79,83,78
images/215.png,161,Sentret,Normal,,215,35,46,34,35,45,20
images/216.png,162,Furret,Normal,,415,85,76,64,45,55,90
images/217.png,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50
images/218.png,164,Noctowl,Normal,Flying,452,100,50,50,86,96,70
images/219.png,165,Ledyba,Bug,Flying,265,40,20,30,40,80,55
images/220.png,166,Ledian,Bug,Flying,390,55,35,50,55,110,85
images/221.png,167,Spinarak,Bug,Poison,250,40,60,40,40,40,30
images/222.png,168,Ariados,Bug,Poison,400,70,90,70,60,70,40
images/223.png,169,Crobat,Poison,Flying,535,85,90,80,70,80,130
images/224.png,170,Chinchou,Water,Electric,330,75,38,38,56,56,67
images/225.png,171,Lanturn,Water,Electric,460,125,58,58,76,76,67
images/226.png,172,Pichu,Electric,,205,20,40,15,35,35,60
images/227.png,173,Cleffa,Fairy,,218,50,25,28,45,55,15
images/228.png,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15
images/229.png,175,Togepi,Fairy,,245,35,20,65,40,65,20
images/230.png,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40
images/231.png,177,Natu,Psychic,Flying,320,40,50,45,70,45,70
images/232.png,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95
images/233.png,179,Mareep,Electric,,280,55,40,40,65,45,35
images/234.png,180,Flaaffy,Electric,,365,70,55,55,80,60,45
images/235.png,181,Ampharos,Electric,,510,90,75,85,115,90,55
images/236.png,181,Ampharos Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45
images/237.png,182,Bellossom,Grass,,490,75,80,95,90,100,50
images/238.png,183,Marill,Water,Fairy,250,70,20,50,20,50,40
images/239.png,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50
images/240.png,185,Sudowoodo,Rock,,410,70,100,115,30,65,30
images/241.png,186,Politoed,Water,,500,90,75,75,90,100,70
images/242.png,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50
images/243.png,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80
images/244.png,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110
images/245.png,190,Aipom,Normal,,360,55,70,55,40,55,85
images/246.png,191,Sunkern,Grass,,180,30,30,30,30,30,30
images/247.png,192,Sunflora,Grass,,425,75,75,55,105,85,30
images/248.png,193,Yanma,Bug,Flying,390,65,65,45,75,45,95
images/249.png,194,Wooper,Water,Ground,210,55,45,45,25,25,15
images/250.png,194,Wooper Paldean Wooper,Poison,Ground,210,55,45,45,25,25,15
images/251.png,195,Quagsire,Water,Ground,430,95,85,85,65,65,35
images/252.png,196,Espeon,Psychic,,525,65,65,60,130,95,110
images/253.png,197,Umbreon,Dark,,525,95,65,110,60,130,65
images/254.png,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91
images/255.png,199,Slowking,Water,Psychic,490,95,75,80,100,110,30
images/256.png,199,Slowking Galarian Slowking,Poison,Psychic,490,95,65,80,110,110,30
images/257.png,200,Misdreavus,Ghost,,435,60,60,60,85,85,85
images/258.png,201,Unown,Psychic,,336,48,72,48,72,48,48
images/259.png,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33
images/260.png,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85
images/261.png,204,Pineco,Bug,,290,50,65,90,35,35,15
images/262.png,205,Forretress,Bug,Steel,465,75,90,140,60,60,40
images/263.png,206,Dunsparce,Normal,,415,100,70,70,65,65,45
images/264.png,207,Gligar,Ground,Flying,430,65,75,105,35,65,85
images/265.png,208,Steelix,Steel,Ground,510,75,85,200,55,65,30
images/266.png,208,Steelix Mega Steelix,Steel,Ground,610,75,125,230,55,95,30
images/267.png,209,Snubbull,Fairy,,300,60,80,50,40,40,30
images/268.png,210,Granbull,Fairy,,450,90,120,75,60,60,45
images/269.png,211,Qwilfish,Water,Poison,440,65,95,85,55,55,85
images/270.png,211,Qwilfish Hisuian Qwilfish,Dark,Poison,440,65,95,85,55,55,85
images/271.png,212,Scizor,Bug,Steel,500,70,130,100,55,80,65
images/272.png,212,Scizor Mega Scizor,Bug,Steel,600,70,150,140,65,100,75
images/273.png,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5
images/274.png,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85
images/275.png,214,Heracross Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75
images/276.png,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115
images/277.png,215,Sneasel Hisuian Sneasel,Fighting,Poison,430,55,95,55,35,75,115
images/278.png,216,Teddiursa,Normal,,330,60,80,50,50,50,40
images/279.png,217,Ursaring,Normal,,500,90,130,75,75,75,55
images/280.png,218,Slugma,Fire,,250,40,40,40,70,40,20
images/281.png,219,Magcargo,Fire,Rock,430,60,50,120,90,80,30
images/282.png,220,Swinub,Ice,Ground,250,50,50,40,30,30,50
images/283.png,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50
images/284.png,222,Corsola,Water,Rock,410,65,55,95,65,95,35
images/285.png,222,Corsola Galarian Corsola,Ghost,,410,60,55,100,65,100,30
images/286.png,223,Remoraid,Water,,300,35,65,35,65,35,65
images/287.png,224,Octillery,Water,,480,75,105,75,105,75,45
images/288.png,225,Delibird,Ice,Flying,330,45,55,45,65,45,75
images/289.png,226,Mantine,Water,Flying,485,85,40,70,80,140,70
images/290.png,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70
images/291.png,228,Houndour,Dark,Fire,330,45,60,30,80,50,65
images/292.png,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95
images/293.png,229,Houndoom Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115
images/294.png,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85
images/295.png,231,Phanpy,Ground,,330,90,60,60,40,40,40
images/296.png,232,Donphan,Ground,,500,90,120,120,60,60,50
images/297.png,233,Porygon2,Normal,,515,85,80,90,105,95,60
images/298.png,234,Stantler,Normal,,465,73,95,62,85,65,85
images/299.png,235,Smeargle,Normal,,250,55,20,35,20,45,75
images/300.png,236,Tyrogue,Fighting,,210,35,35,35,35,35,35
images/301.png,237,Hitmontop,Fighting,,455,50,95,95,35,110,70
images/302.png,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65
images/303.png,239,Elekid,Electric,,360,45,63,37,65,55,95
images/304.png,240,Magby,Fire,,365,45,75,37,70,55,83
images/305.png,241,Miltank,Normal,,490,95,80,105,40,70,100
images/306.png,242,Blissey,Normal,,540,255,10,10,75,135,55
images/307.png,243,Raikou,Electric,,580,90,85,75,115,100,115
images/308.png,244,Entei,Fire,,580,115,115,85,90,75,100
images/309.png,245,Suicune,Water,,580,100,75,115,90,115,85
images/310.png,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41
images/311.png,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51
images/312.png,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61
images/313.png,248,Tyranitar Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71
images/314.png,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110
images/315.png,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90
images/316.png,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100
images/317.png,252,Treecko,Grass,,310,40,45,35,65,55,70
images/318.png,253,Grovyle,Grass,,405,50,65,45,85,65,95
images/319.png,254,Sceptile,Grass,,530,70,85,65,105,85,120
images/320.png,254,Sceptile Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145
images/321.png,255,Torchic,Fire,,310,45,60,40,70,50,45
images/322.png,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55
images/323.png,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80
images/324.png,257,Blaziken Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100
images/325.png,258,Mudkip,Water,,310,50,70,50,50,50,40
images/326.png,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50
images/327.png,260,Swampert,Water,Ground,535,100,110,90,85,90,60
images/328.png,260,Swampert Mega Swampert,Water,Ground,635,100,150,110,95,110,70
images/329.png,261,Poochyena,Dark,,220,35,55,35,30,30,35
images/330.png,262,Mightyena,Dark,,420,70,90,70,60,60,70
images/331.png,263,Zigzagoon,Normal,,240,38,30,41,30,41,60
images/332.png,263,Zigzagoon Galarian Zigzagoon,Dark,Normal,240,38,30,41,30,41,60
images/333.png,264,Linoone,Normal,,420,78,70,61,50,61,100
images/334.png,264,Linoone Galarian Linoone,Dark,Normal,420,78,70,61,50,61,100
images/335.png,265,Wurmple,Bug,,195,45,45,35,20,30,20
images/336.png,266,Silcoon,Bug,,205,50,35,55,25,25,15
images/337.png,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65
images/338.png,268,Cascoon,Bug,,205,50,35,55,25,25,15
images/339.png,269,Dustox,Bug,Poison,385,60,50,70,50,90,65
images/340.png,270,Lotad,Water,Grass,220,40,30,30,40,50,30
images/341.png,271,Lombre,Water,Grass,340,60,50,50,60,70,50
images/342.png,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70
images/343.png,273,Seedot,Grass,,220,40,40,50,30,30,30
images/344.png,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60
images/345.png,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80
images/346.png,276,Taillow,Normal,Flying,270,40,55,30,30,30,85
images/347.png,277,Swellow,Normal,Flying,455,60,85,60,75,50,125
images/348.png,278,Wingull,Water,Flying,270,40,30,30,55,30,85
images/349.png,279,Pelipper,Water,Flying,440,60,50,100,95,70,65
images/350.png,280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40
images/351.png,281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50
images/352.png,282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80
images/353.png,282,Gardevoir Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100
images/354.png,283,Surskit,Bug,Water,269,40,30,32,50,52,65
images/355.png,284,Masquerain,Bug,Flying,454,70,60,62,100,82,80
images/356.png,285,Shroomish,Grass,,295,60,40,60,40,60,35
images/357.png,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70
images/358.png,287,Slakoth,Normal,,280,60,60,60,35,35,30
images/359.png,288,Vigoroth,Normal,,440,80,80,80,55,55,90
images/360.png,289,Slaking,Normal,,670,150,160,100,95,65,100
images/361.png,290,Nincada,Bug,Ground,266,31,45,90,30,30,40
images/362.png,291,Ninjask,Bug,Flying,456,61,90,45,50,50,160
images/363.png,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40
images/364.png,293,Whismur,Normal,,240,64,51,23,51,23,28
images/365.png,294,Loudred,Normal,,360,84,71,43,71,43,48
images/366.png,295,Exploud,Normal,,490,104,91,63,91,73,68
images/367.png,296,Makuhita,Fighting,,237,72,60,30,20,30,25
images/368.png,297,Hariyama,Fighting,,474,144,120,60,40,60,50
images/369.png,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20
images/370.png,299,Nosepass,Rock,,375,30,45,135,45,90,30
images/371.png,300,Skitty,Normal,,260,50,45,45,35,35,50
images/372.png,301,Delcatty,Normal,,400,70,65,65,55,55,90
images/373.png,302,Sableye,Dark,Ghost,380,50,75,75,65,65,50
images/374.png,302,Sableye Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20
images/375.png,303,Mawile,Steel,Fairy,380,50,85,85,55,55,50
images/376.png,303,Mawile Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50
images/377.png,304,Aron,Steel,Rock,330,50,70,100,40,40,30
images/378.png,305,Lairon,Steel,Rock,430,60,90,140,50,50,40
images/379.png,306,Aggron,Steel,Rock,530,70,110,180,60,60,50
images/380.png,306,Aggron Mega Aggron,Steel,,630,70,140,230,60,80,50
images/381.png,307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60
images/382.png,308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80
images/383.png,308,Medicham Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100
images/384.png,309,Electrike,Electric,,295,40,45,40,65,40,65
